Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Proses
1,370,194,234,158,125,46,47,46,B
2,346,192,229,156,119,50,45,47,B
3,331,191,229,160,118,46,44,46,B
4,322,191,230,156,118,45,46,46,B
5,313,191,230,156,118,46,45,46,B
6,306,191,230,156,118,46,46,46,B
7,300,190,229,156,117,46,46,46,B
8,296,191,229,156,117,46,46,46,B
9,293,190,229,156,117,46,46,47,B
10,291,191,230,155,117,47,51,46,B
11,288,189,229,155,118,47,46,47,B
1,297,192,230,156,116,47,46,47,S
2,313,206,238,163,118,47,48,47,S
3,333,217,278,178,117,56,56,56,S
4,352,231,311,191,117,84,84,84,S
5,368,242,331,200,117,113,114,113,S
6,383,253,342,207,117,136,136,137,S
7,395,261,350,212,117,153,153,153,S
8,408,269,357,217,117,165,165,165,S
9,417,275,361,220,117,175,175,175,S
10,427,281,365,223,118,185,183,183,S
11,436,290,367,225,114,189,190,190,S
12,444,291,371,227,117,195,195,195,S
13,449,295,372,228,117,199,198,199,S
14,455,298,374,230,117,203,203,203,S
15,461,301,375,232,116,205,206,206,S
16,467,305,378,234,117,209,209,209,S
17,472,307,379,234,116,212,211,212,S
18,479,311,383,235,118,215,217,214,S
19,482,313,382,237,117,216,216,216,S
20,487,316,384,239,117,218,218,218,S
21,490,317,385,240,117,219,219,219,S
22,494,319,386,241,117,221,221,221,S
23,498,322,388,242,117,222,222,222,S
24,501,323,389,243,117,223,223,223,S
25,505,326,390,245,117,225,225,225,S
26,507,326,390,244,117,225,224,225,S
27,511,329,392,246,115,225,224,225,S
28,513,327,392,245,121,226,226,227,S
29,514,329,393,247,117,226,226,226,S
30,519,332,394,248,117,228,228,227,S
31,520,332,395,248,117,228,228,227,S
32,522,333,395,248,116,228,228,228,S
33,524,334,396,250,117,229,228,228,S
34,527,336,397,250,117,229,229,229,S
35,529,336,398,251,117,229,229,229,S
36,529,334,397,249,122,228,229,229,S
37,532,335,397,251,116,228,228,228,S
38,535,338,399,252,117,229,229,229,S
39,535,338,399,253,117,229,229,229,S
40,537,339,399,253,117,229,228,228,S
41,539,340,400,254,117,229,229,229,S
42,541,341,401,255,117,229,229,229,S
43,543,342,401,255,117,229,229,229,S
44,543,341,402,255,117,229,229,229,S
45,543,342,401,259,116,229,226,228,S
46,545,342,402,256,117,228,228,228,S
47,548,344,404,257,117,229,229,229,S
48,548,343,403,257,117,228,228,228,S
49,549,343,403,257,117,227,227,227,S
50,551,344,403,258,117,227,227,227,S
51,552,344,404,258,117,227,227,227,S
52,553,343,403,258,117,227,226,227,S
53,555,345,407,258,118,224,226,225,S
54,556,345,405,258,117,226,226,226,S
55,557,345,404,259,117,226,226,226,S
56,558,345,405,259,117,225,226,225,S
57,558,345,404,259,117,225,224,225,S
58,558,345,404,259,117,224,224,224,S
59,561,346,405,259,117,224,224,226,S
60,565,345,406,258,117,223,224,224,S
61,564,347,407,261,117,224,224,224,S
62,563,346,407,261,117,223,223,223,S
63,564,347,407,261,117,223,223,223,S
64,565,347,407,262,117,222,222,222,S
65,566,347,407,261,117,222,222,221,S
66,567,346,407,260,116,222,222,223,S
67,568,348,409,262,117,222,222,222,S
68,567,346,407,262,117,221,221,221,S
69,569,347,407,262,117,221,221,220,S
70,570,348,408,263,117,220,221,221,S
71,571,347,407,263,117,220,220,220,S
72,574,347,409,260,116,218,220,220,S
73,572,348,408,263,117,219,219,219,S
74,573,348,408,264,117,219,219,219,S
75,571,346,407,263,117,218,218,218,S
76,572,347,408,263,118,217,218,219,S
